Year,County,Days Monitored,#  Days Standard Not Met,% Days Standard Not Met,Affected person days  (x1000)
2015,Skamania,--,--,--,--
2015,Snohomish,184,24,13,36068
2015,Spokane,337,33,9.8,17453
2015,Stevens,362,41,11.3,1820
2015,Thurston,314,23,7.3,7149
2015,Wahkiakum,--,--,--,--
2015,Walla Walla,362,18,5,1101
2015,Whatcom,305,8,2.6,2008
2015,Whitman,362,24,6.6,1143
2015,Yakima,363,79,21.8,19856
2016,State Total,--,--,--,--
2016,Adams,346,1,0.3,21
2016,Asotin,362,5,1.4,112
2016,Benton,322,1,0.3,216
2016,Chelan,366,14,3.8,1060
2016,Clallam,366,21,5.7,1537
2016,Clark,361,17,4.7,7924
2016,Columbia,--,--,--,--
2016,Cowlitz,363,7,1.9,738
2016,Douglas,--,--,--,--
2016,Ferry,--,--,--,--
2016,Franklin,--,--,--,--
2016,Garfield,--,--,--,--
2016,Grant,361,1,0.3,96
2016,Grays Harbor,364,15,4.1,1095
2016,Island,--,--,--,--
2016,Jefferson,348,3,0.9,98
2016,King,366,12,3.3,25192
2016,Kitsap,--,--,--,--
2016,Kittitas,362,18,5,793
2016,Klickitat,0,--,--,--
2016,Lewis,366,2,0.6,153
2016,Lincoln,--,--,--,--
2016,Mason,--,--,--,--
2016,Okanogan,366,49,13.4,2039
2016,Pacific,--,--,--,--
2016,Pend Oreille,--,--,--,--
2016,Pierce,366,25,6.8,21055
2016,San Juan,--,--,--,--
2016,Skagit,366,7,1.9,854
2016,Skamania,--,--,--,--
2016,Snohomish,212,11,5.2,14637
2016,Spokane,366,10,2.7,4912
2016,Stevens,363,33,9.1,1463
2016,Thurston,343,17,5,4933
2016,Wahkiakum,--,--,--,--
2016,Walla Walla,0,--,--,--
2016,Whatcom,319,4,1.2,973
2016,Whitman,366,9,2.5,430
2016,Yakima,366,46,12.6,11510
2017,State Total,--,--,--,--
2017,Adams,357,19,5.3,386
2017,Asotin,347,33,9.5,774
2017,Benton,365,17,4.7,3290
2017,Chelan,365,35,9.6,2689
2017,Clallam,365,48,13.2,3564
2017,Clark,365,42,11.5,19782
2017,Columbia,333,20,6,90
2017,Cowlitz,365,8,2.2,847
2017,Douglas,--,--,--,--
2017,Ferry,--,--,--,--
2017,Franklin,331,17,5.1,1693
2017,Garfield,0,--,--,--
2017,Grant,365,21,5.8,2008
2017,Grays Harbor,365,18,4.9,1313
2017,Island,--,--,--,--
2017,Jefferson,365,4,1.1,125
2017,King,365,41,11.2,88302
2017,Kitsap,360,12,3.3,3216
2017,Kittitas,345,27,7.8,1278
2017,Klickitat,0,--,--,--
2017,Lewis,365,12,3.3,929
2017,Lincoln,--,--,--,--
2017,Mason,363,12,3.3,762
2017,Okanogan,365,80,21.9,3369
2017,Pacific,--,--,--,--
2017,Pend Oreille,--,--,--,--
2017,Pierce,365,48,13.2,41251
2017,San Juan,--,--,--,--
2017,Skagit,353,5,1.4,642
2017,Skamania,--,--,--,--
2017,Snohomish,319,85,26.6,76775
2017,Spokane,365,37,10.1,18493
2017,Stevens,365,44,12,1958
2017,Thurston,361,35,9.7,9799
2017,Wahkiakum,--,--,--,--
2017,Walla Walla,325,22,6.8,1517
2017,Whatcom,343,16,4.7,3683
2017,Whitman,365,24,6.6,1167
2017,Yakima,365,48,13.2,12144
2018,State Total,--,--,--,--
2018,Adams,350,18,5.1,376
2018,Asotin,327,32,9.8,801
2018,Benton,365,9,2.5,1777
2018,Chelan,365,40,11,3112
2018,Clallam,365,43,11.8,3231
2018,Clark,365,24,6.6,11508
2018,Columbia,307,12,3.9,59
2018,Cowlitz,365,18,4.9,1932
2018,Douglas,--,--,--,--
2018,Ferry,--,--,--,--
2018,Franklin,360,13,3.6,1220
2018,Garfield,364,13,3.6,29
2018,Grant,365,20,5.5,1947
2018,Grays Harbor,365,19,5.2,1399
2018,Island,--,--,--,--
2018,Jefferson,359,9,2.5,289
2018,King,365,46,12.6,100749
2018,Kitsap,350,12,3.4,3343
2018,Kittitas,348,17,4.9,813
2018,Klickitat,0,--,--,--
2018,Lewis,365,14,3.8,1097
2018,Lincoln,--,--,--,--
2018,Mason,365,16,4.4,1024
2018,Okanogan,365,97,26.6,4122
2018,Pacific,--,--,--,--
2018,Pend Oreille,--,--,--,--
2018,Pierce,365,52,14.2,45355
2018,San Juan,--,--,--,--
2018,Skagit,365,11,3,1392
2018,Skamania,--,--,--,--
2018,Snohomish,365,66,18.1,53138
